,text
120,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?
121,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?"
122,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370
123,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!
124,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!
125,"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?"
126,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!
127,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue
128,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?
129,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?
130,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.
131,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry
132,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?
133,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!
134,@VirginAmerica Another delayed flight? #likingyoulessandless
135,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise
136,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015
137,"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9"
138,@VirginAmerica always!!! Xoxo
139,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated
140,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame
141,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!
142,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃
143,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas
144,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!
145,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :("
146,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.
147,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.
148,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf
149,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.
150,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?
151,@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?
152,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-)
153,@VirginAmerica is your website ever coming back online?
154,"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?"
155,@VirginAmerica Is flight 0769 out of LGA to DFW on time?
156,@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?
157,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.
158,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!
159,"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site"
160,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable."
161,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)"
162,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter
163,@VirginAmerica is the website down?
164,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2
165,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers
166,@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2
167,@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh
168,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!
169,@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx
170,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu"
171,@VirginAmerica Lister to my show my on Monday 1230 130
172,@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH
173,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher..."
174,@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed
175,@VirginAmerica I'd love to know what your policy is for damaged luggage.
176,@VirginAmerica Thank you for the follow
177,@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers
178,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?
179,@VirginAmerica @TTINAC11 I DM you
180,@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭
181,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!
182,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?
183,😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt
184,@VirginAmerica Only way to fly! #Elevate #Gold
185,@VirginAmerica If only you guys had flights from CMH.
186,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever."
187,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever
188,@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?
189,@VirginAmerica you will match my #AmericanAirlines status? Cool!
190,“@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉
191,@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business
192,@VirginAmerica you suck!
193,@VirginAmerica thanks!
194,@VirginAmerica Just DM'd. Same issue persisting.
195,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids
196,@VirginAmerica trying to book a flight &amp; your site is down 😁
197,@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything
198,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better
199,@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue
200,@VirginAmerica Your website is down and I'm trying to check in!
201,"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)"
202,@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!
203,@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4
204,@VirginAmerica Keep up the great work :)
205,@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY
206,@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously
207,@VirginAmerica can you please get me to the new york area before monday afternoon
208,"@VirginAmerica Thanks so much for the awesome support, you guys rock!"
209,@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback
210,@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.
211,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️
212,@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!
213,@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?
214,@VirginAmerica can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.
215,"@VirginAmerica on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight"
216,"@VirginAmerica your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin"
217,@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin
218,"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?"
219,@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks
220,@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh
221,@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...
222,@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj
223,@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline
224,@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad
225,"@VirginAmerica it’s just a bug report, guys"
226,@VirginAmerica hold times at call center are a bit much
227,@VirginAmerica Like http://t.co/VPqEm31XUQ
228,@VirginAmerica Site down? #help
229,@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l
230,"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy"
231,@VirginAmerica thanks so much!
232,"@VirginAmerica Trying to reset my password, email never arrives. Help?"
233,"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9"
234,@VirginAmerica Very nicely done. 👏
235,@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;)
236,@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?
237,"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?"
238,@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗
239,@VirginAmerica sounds like fun !
240,@VirginAmerica any updates on flight 413 from Jfk &gt; Lax
241,@virginamerica spruce moose!
242,"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable."
243,"@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?"
244,"@VirginAmerica classiq, luv Virgin America. Greetingz"
245,"@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues"
246,@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!
247,@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason
248,@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!
249,"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews"
250,@VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ
251,@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.
252,"@VirginAmerica thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free."
253,"@VirginAmerica If you'd love to see more girls be inspired to become pilots, RT our free WOAW event March 2-8 at ABQ. http://t.co/rfXlV1kGDh"
254,@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo
255,"@VirginAmerica beats expectations, shares take off - Santa Cruz Sentinel http://t.co/qm9dQbai6G"
256,@VirginAmerica any plans to start flying direct from DAL to LAS?
257,@VirginAmerica BIG Love/gratitude.mpower w/ http://t.co/1AGR9knCpf weRin #OSCARS2105 VIPswagbags@ #AvalonHollywood http://t.co/ybMbGs0dHn
258,"@VirginAmerica, you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!"
259,@VirginAmerica requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver member😒
260,@VirginAmerica Grand Budapest Hotel #OscarsCountdown
261,@VirginAmerica This is what you missed @NewsVP. Next trip to the 407.
262,@VirginAmerica #wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!
263,@VirginAmerica there is something wrong with you website in Safari iPhone
264,@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet
265,@VirginAmerica Already checked in so the page expired :X
266,@VirginAmerica Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!
267,@VirginAmerica shares rise on Q4 financial results - USA TODAY http://t.co/lFS4PEFE6y
268,@VirginAmerica Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race http://t.co/rGYwJBbhm4
269,@VirginAmerica I see what you did there ;)
270,@VirginAmerica way to take advantage of #MayweatherPacquiao :)
271,@VirginAmerica you know I'm flying virgin for the fight #MayweatherPacquiao
272,@VirginAmerica your inflight team makes the experience #amazing!
273,@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J
274,"@VirginAmerica moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selected👎 #DISAPPOINTED"
275,@VirginAmerica shares up on 4Q results - @iol http://t.co/XZ6qeG3nef
276,@VirginAmerica fav airline
277,@VirginAmerica we have a hot female pilot! Sweet! DCA to SFO! :-)
278,👍👍✈️✈️💗 When are you guys going to start flying to Paris? @VirginAmerica: @LizaUtter You're welcome.”
279,@VirginAmerica what is your policy on flying after surgery?  I am still waiting for answer so I can tell me doctor.
280,@VirginAmerica already contacted Central Baggage &amp; sent DM. @RenttheRunway is charging me for the dress that was in the lost suitcase #help
281,@VirginAmerica Thank you!!
282,@VirginAmerica Is there anything going on with the website? I've been getting a lot of errors past 30 minutes.
283,@VirginAmerica I think i left something on the plane yesterday. who do i call...ah!
284,@VirginAmerica I need you to follow back in order to DM.
285,@VirginAmerica Need to start flying to @KCIAirport .  😊😀😃😄
286,@VirginAmerica they told to check with the airline regulation first so that is why I contacted you.
287,@VirginAmerica @VirginAtlantic I have just checked in flight to SFO from LAX &amp; been told as Atlantic Flying Club Gold I get no benefits?!
288,@VirginAmerica husband and I ordered three drinks via my screen and they never came. Awesome!
289,@VirginAmerica soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence :-)
290,@VirginAmerica what is your policy on flying after surgery?
291,@VirginAmerica posts second consecutive full-year net profit - @ATWOnline http://t.co/tvB5zbzVhg
292,"@VirginAmerica Funny story, your website is broken, you have missing javascript and stylesheets on the checkin process. I dislike this!"
293,@VirginAmerica would love to do more for virgin just like I do for @GoPro
294,@VirginAmerica Results Handily Exceed Forecasts - @NYTimes http://t.co/gonmRwEM6I
295,"@VirginAmerica I applied for a position in @flyLAXairport ,and I was wondering if you guys received my application."
296,@VirginAmerica achieves a second year of profitability despite revenue pressure ... - @CAPA_Aviation http://t.co/zSuZTNAIJq
297,"@VirginAmerica gives positive outlook, but sees increased competition - @Reuters http://t.co/jEu7Od3eYJ"
298,@VirginAmerica I'm trying to check into my 10:50AM CT flight tmm on the desktop website and it's not working (some sort of caching bug) SOS
299,@VirginAmerica weather delays &gt; next few weeks ;) #JFK #BOS #DCA
300,@VirginAmerica @madbee95 check the website before you go to the airport!
301,@VirginAmerica Do you guys know your check-in links from emails are broken? http://t.co/2npXB6oBMr
302,@VirginAmerica pilot says we expect a choppy landing in NYC due to some gusty winds w/a temperature of about 5 degrees &amp; w/the windchill -8
303,@VirginAmerica loved it. Can't wait for Monday's return flight... Mostly just to watch the inflight safety video again. #sorrynotsorry
304,"@VirginAmerica lost my luggage 4 days ago on flight VX 112 from LAX to IAD &amp; I'm calling every day, no response.Please give me back my stuff"
305,@VirginAmerica The Flight Booking Problems section of your website seems to be broken on Chrome. Might wanna look into that.
306,@VirginAmerica Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!
307,"@VirginAmerica I mean. Probably inappropriate while on board.. But, it's on!"
308,@VirginAmerica happy to spend the day together. Let's do this!
309,@VirginAmerica is saving my sanity right now: http://t.co/ELtBOLjUl9
310,@VirginAmerica missed my flight. How does standby work?
311,.@VirginAmerica They were very understanding and helped me out.  Thx! #Comps
312,@VirginAmerica brought it all the way across the country today I see http://t.co/TKaUyGcPmS
313,@VirginAmerica thank you! I absolutely will 😎
314,@virginamerica Looks like a broken link for your assets https://t.co/OArDjjGrrD
